City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
baltay,ru,52.47,46.63,32.17,97,92,3.13
nizhniy kuranakh,ru,58.84,125.49,9.49,71,68,5.59
phalaborwa,za,-23.95,31.14,73.4,60,0,2.24
tiznit,ma,29.7,-9.73,67.45,66,56,9.73
talakan,ru,50.29,130.28,10.48,76,8,2.57
manaure,co,11.78,-72.45,84.2,66,0,13.87
sandpoint,us,48.28,-116.55,49.12,57,90,4.7
atakpame,tg,7.53,1.13,77.62,78,36,7.61
djambala,cg,-2.55,14.76,70.24,96,64,3.47
chicama,pe,-7.84,-79.15,71.6,83,40,12.75
staryy nadym,ru,65.61,72.68,25.33,87,68,12.75
golspie,gb,57.97,-3.98,41.86,86,88,13.87
pouembout,nc,-21.12,164.9,76.9,79,80,7.94
chihuahua,mx,28.66,-106.08,81.18,12,5,8.05
jardim,br,-21.48,-56.15,85.18,64,56,3.8
ellensburg,us,47.0,-120.55,48.15,70,90,12.75
fort madison,us,40.63,-91.32,50.65,100,75,6.93
yingcheng,cn,30.93,113.57,46.4,93,8,6.71
burnie,au,-41.05,145.91,51.51,84,80,11.01
bambous virieux,mu,-20.34,57.76,79.81,74,75,10.29
shenkursk,ru,62.11,42.91,32.98,92,88,4.25
rokytne,ua,51.27,27.23,34.15,69,36,2.91
kotelnich,ru,58.31,48.34,30.19,89,76,9.4
ushtobe,kz,45.25,77.98,41.44,93,92,3.02
miyako,jp,33.63,130.94,43.66,86,75,11.41
reykjavik,is,64.15,-21.94,30.24,74,0,11.41
lamu,ke,-2.27,40.9,80.6,83,1,7.16
klaksvik,fo,62.23,-6.59,39.2,93,0,21.92
beruwala,lk,6.48,79.98,82.93,100,0,8.61
isangel,vu,-19.55,169.27,80.6,83,75,19.91
caraquet,ca,47.79,-64.94,34.34,40,20,12.75
beloha,mg,-25.17,45.06,76.27,75,20,15.43
mariental,na,-24.63,17.97,81.04,21,100,2.57
iaciara,br,-14.1,-46.63,72.04,99,92,0.34
